timestamp_ms,ecg_value
0,5461.290322580645
4,5361.290322580644
24,5377.41935483871
44,5480.645161290322
65,5693.548387096774
84,5783.870967741935
104,5625.806451612903
124,5719.354838709677
144,5761.290322580645
165,5545.1612903225805
184,5700.0
205,5700.0
225,5796.774193548387
245,5629.032258064516
265,5580.645161290322
284,6135.4838709677415
304,6245.1612903225805
324,6351.612903225807
344,6080.645161290322
364,5725.806451612903
384,5716.129032258064
404,5648.387096774193
424,5916.129032258064
444,12135.48387096774
465,5077.419354838709
484,5212.903225806451
504,6141.935483870968
524,6380.645161290323
545,6461.290322580645
565,6548.387096774193
584,7035.483870967741
604,7238.709677419353
625,7570.967741935484
644,7738.709677419354
665,7532.258064516129
684,7035.483870967741
704,6177.419354838709
724,5635.483870967742
744,5383.870967741936
765,5503.225806451613
784,5490.322580645161
804,5596.774193548387
824,5680.645161290323
844,5529.032258064516
865,5732.258064516129
884,5641.935483870968
904,5735.4838709677415
924,5432.25806451613
944,5570.967741935484
964,5638.709677419355
984,5658.064516129032
1004,5803.225806451613
1024,6238.709677419354
1044,6103.225806451613
1064,5629.032258064516
1084,5561.290322580646
1104,5606.451612903225
1124,5080.645161290322
1144,8203.225806451614
1165,8119.354838709677
1184,4180.645161290323
1204,5835.4838709677415
1224,6177.419354838709
1244,6403.225806451613
1264,6519.354838709678
1284,6783.870967741935
1304,7029.032258064515
1324,7558.064516129033
1344,7793.548387096775
1364,7690.322580645161
1384,7245.16129032258
1404,6574.193548387097
1424,5851.612903225807
1444,5625.806451612903
1464,5325.806451612903
1484,5506.451612903226
1504,5593.548387096775
1524,5629.032258064516
1544,5790.322580645161
1564,5725.806451612903
1584,5751.612903225806
1604,5661.290322580645
1624,5648.387096774193
1645,5758.064516129032
1664,5664.516129032258
1685,5648.387096774193
1704,5616.129032258064
1725,5954.838709677419
1744,6300.0
1764,6229.032258064516
1784,5990.322580645161
1804,5777.419354838709
1824,5538.709677419355
1844,5425.806451612903
1864,5751.612903225806
1885,12667.741935483871
1904,4661.290322580645
1924,5219.354838709677
1945,6196.774193548387
1965,6290.322580645161
1984,6396.774193548386
2004,6658.064516129031
2024,6999.999999999999
2044,7216.129032258063
2064,7461.290322580646
2084,7780.645161290322
2104,7741.935483870968
2124,7158.064516129031
2144,6300.0
2165,5461.290322580645
2184,5322.58064516129
2204,5345.1612903225805
2225,5451.612903225806
2244,5625.806451612903
2264,5670.967741935484
2284,5729.032258064516
2304,5574.193548387097
2324,5609.677419354838
2344,5822.58064516129
2364,5512.903225806452
2384,5483.870967741935
2404,5677.419354838709
2424,5551.612903225807
2444,5558.064516129032
2464,6048.387096774193
2484,6216.129032258064
2504,6061.290322580645
2524,5832.258064516129
2544,5738.709677419354
2564,5625.806451612903
2584,5606.451612903225
2605,5712.903225806452
2625,12267.74193548387
2645,4867.74193548387
2664,5161.290322580645
2684,6029.032258064515
2704,6248.387096774193
2724,6293.548387096775
2744,6809.677419354838
2764,6658.064516129031
2784,7077.419354838708
2804,7506.451612903226
2824,7648.387096774193
2844,7606.451612903225
2865,7103.225806451613
2884,6054.83870967742
2904,5577.419354838709
2924,5151.612903225806
2944,5161.290322580645
2964,5309.677419354838
2984,5635.483870967742
3004,5438.709677419354
3024,5422.580645161291
3044,5516.129032258064
3064,5467.741935483871
3084,5467.741935483871
3104,5403.225806451613
3124,5429.032258064516
3144,5419.354838709677
3164,5387.096774193548
3184,5487.096774193548
3205,5832.258064516129
3224,6151.612903225806
3244,6112.903225806451
3264,5870.967741935483
3284,5629.032258064516
3304,5493.548387096774
3325,5300.0
3344,5999.999999999999
3365,11990.32258064516
3384,4199.999999999999
3405,5519.354838709678
3425,5935.4838709677415
3444,6319.354838709677
3464,6277.419354838709
3484,6554.83870967742
3504,6809.677419354838
3524,7112.903225806451
3544,7593.548387096775
3565,7545.16129032258
3584,7487.096774193548
3604,6716.129032258064
3624,5832.258064516129
3644,5490.322580645161
3664,5241.935483870967
3684,5125.806451612903
3704,5387.096774193548
3725,5335.4838709677415
3744,5435.483870967742
3765,5396.774193548386
3784,5458.064516129032
3804,5461.290322580645
3824,5367.741935483871
3844,5254.838709677419
3864,5496.774193548387
3884,5416.129032258064
3904,5625.806451612903
3924,5841.935483870968
3945,6141.935483870968
3965,5806.451612903225
3984,5416.129032258064
4004,5300.0
4025,5464.5161290322585
4045,5306.451612903225
4065,10470.967741935485
4085,5709.677419354838
4104,4100.0
4124,6019.354838709677
4145,5938.709677419354
4165,6158.064516129031
4184,6406.451612903225
4204,6761.290322580645
4225,6999.999999999999
4245,7358.06451612903
4265,7406.451612903224
4284,7390.32258064516
4305,7174.193548387096
4324,6009.677419354838
4345,5558.064516129032
4365,5254.838709677419
4384,5177.419354838709
4405,5338.709677419354
4425,5567.74193548387
4445,5567.74193548387
4465,5587.096774193548
4484,5609.677419354838
4505,5577.419354838709
4524,5625.806451612903
4545,5493.548387096774
4565,5677.419354838709
4584,5629.032258064516
4604,5938.709677419354
4624,6264.5161290322585
4645,6035.4838709677415
4665,5929.032258064516
4684,5493.548387096774
4704,5545.1612903225805
4724,4903.225806451613
4745,7793.548387096775
4764,8845.16129032258
4784,3751.612903225807
4804,6070.967741935483
4824,6141.935483870968
4845,6345.1612903225805
4864,6477.41935483871
4884,6712.903225806451
4904,7003.225806451612
4925,7338.709677419354
4945,7641.935483870968
4966,7690.322580645161
4984,7416.129032258063
5005,6538.709677419354
5024,5709.677419354838
5044,5400.0
5065,5522.58064516129
5084,5322.58064516129
5104,5364.516129032258
5125,5712.903225806452
5145,5683.870967741936
5164,5609.677419354838
5184,5683.870967741936
5204,5648.387096774193
5225,5545.1612903225805
5245,5477.41935483871
5265,5622.58064516129
5284,5667.741935483871
5305,5619.354838709677
5324,5783.870967741935
5345,6377.419354838709
5365,6193.548387096774
5384,5854.838709677419
5404,5551.612903225807
5424,5616.129032258064
